text,label,topic,cleaned_text
"Býkovice is a municipality and village in Blansko District in the South Moravian Region of the Czech Republic. It has about 300 inhabitants.
Býkovice lies approximately 11 kilometres (7 mi) north-west of Blansko, 27 km (17 mi) north of Brno, and 169 km (105 mi) south-east of Prague.",0,Býkovice,býkovice municipality village blansko district south moravian region czech republic inhabitant býkovice lie approximately kilometres mi north west blansko km mi north brno km mi south east prague
Willie Davies (23 August 1916 – 26 September 2002) was a Welsh international dual-code rugby fly half who played rugby union for Swansea and rugby league for Bradford Northern. He won six caps for the Wales rugby union team and nine caps for the Wales rugby league team. In 2003 he was inducted into the Welsh Sports Hall of Fame. He was the cousin of Wales international Haydn Tanner.,0,Willie Davies (rugby),willie davy august september welsh international dual code rugby fly half play rugby union swansea rugby league bradford northern six cap wale rugby union team nine cap wale rugby league team induct welsh sport hall fame cousin wale international haydn tanner
"Taste is a Macintosh word processor that combined a number of basic features from page layout software—just a ""taste"" of it—to build a unique solution to preparing documents. Taste was originally offered by DeltaPoint, the publishers of the famed MindWrite, but was eventually spun off to a third party before finally disappearing. Taste works with Mac OS 9, but not macOS, and has not been available for purchase for several years. In many ways Apple's recent Pages application shares the basic ""idea"" of Taste, combining word processing with page layout.
Originally expected to retail for $99 in the low-end of the word processing market, Taste included a graphical page layout with an integrated drawing package and an address book with the capability of mail-merging. The product was available in 1991 for $149 with a scope of features found in many typical word processing packages, such as spelling checking, graphs and contents page generation. Like a word processor, Taste allowed the user to simply start typing and continue doing so until they were finished. There was no need, as in a typical page layout program, to create a box to hold the text, or manually add pages or link columns as the document grew. Like a page layout program, Taste also allowed the user to add these boxes if needed, as well as adjust the distance between characters (kerning) or between lines in a paragraph. Fairly complex graphics can be created within this program.
Oddly Taste also lacks a number of features of MindWrite, although it appears to have been written by an entirely different programming team. For instance, Taste does not have a built-in outliner, the ""killer feature"" of MindWrite which made it a favorite for many years. Nor does Taste include features like sorting or list generation.",0,Taste (software),taste macintosh word processor combine number basic feature page layout software taste build unique solution prepare document taste originally offer deltapoint publisher famed mindwrite eventually spin third party finally disappear taste work mac o macos available purchase several year many way apple recent page application share basic idea taste combine word processing page layout originally expect retail low end word processing market taste include graphical page layout integrated drawing package address book capability mail merge product available scope feature find many typical word processing package spell check graph content page generation like word processor taste allow user simply start type continue finish need typical page layout program create box hold text manually add page link column document grow like page layout program taste also allow user add box need well adjust distance character kern line paragraph fairly complex graphic create within program oddly taste also lack number feature mindwrite although appear write entirely different programming team instance taste build outliner killer feature mindwrite make favorite many year taste include feature like sort list generation
"Nassarius pullus, common names : black nassa; olive dog whelk; ribbed dog whelk, is a species of sea snail, a marine gastropod mollusc in the family Nassariidae, the nassa mud snails or dog whelks.",0,Nassarius pullus,nassarius pullus common name black nassa olive dog whelk rib dog whelk specie sea snail marine gastropod mollusc family nassariidae nassa mud snail dog whelk
"Metro Pulse was a weekly newspaper in Knoxville, Tennessee. It was founded in 1991 by Ashley Capps, Rand Pearson, Ian Blackburn, and Margaret Weston, and was a member of the Association of Alternative Newsweeklies.
In 2007, Metro Pulse was sold to the media conglomerate E.W. Scripps Company, which also owns several other local media outlets, including Knoxville's daily newspaper, the Knoxville News Sentinel, and the Shopper News in Halls.
Scripps ceased publication of the newspaper on October 15, 2014. The News Sentinel, Knoxville's daily newspaper, also owned by Scripps, launched a free arts and entertainment supplement in its place. Employees were told not to talk to the media or they would not receive severance. In November 2014, a group of Knoxville journalists announced plans for Hard Knox Independent, a new alternative weekly to launch in January 2015 that aims to fill the niche formerly occupied by Metro Pulse. Meanwhile, the actual editors of Metro Pulse declined to sign their severance agreements, which included a non-compete clause with the News Sentinel. Instead, they announced plans to start their own weekly paper, the Knoxville Mercury, utilizing a Kickstarter campaign and donations collected by a non-profit, the Knoxville History Project, for start-up funding. The Knoxville Mercury was officially launched in March 2015.",0,Metro Pulse,metro pulse weekly newspaper knoxville tennessee found ashley capps rand pearson ian blackburn margaret weston member association alternative newsweeklies metro pulse sell medium conglomerate e w scripps company also own several local medium outlet include knoxville daily newspaper knoxville news sentinel shopper news hall scripps cease publication newspaper october news sentinel knoxville daily newspaper also own scripps launch free art entertainment supplement place employee tell talk medium would receive severance november group knoxville journalist announce plan hard knox independent new alternative weekly launch january aim fill niche formerly occupy metro pulse meanwhile actual editor metro pulse decline sign severance agreement include non compete clause news sentinel instead announce plan start weekly paper knoxville mercury utilize kickstarter campaign donation collect non profit knoxville history project start fund knoxville mercury officially launch march
"Jay Enrique Rodriguez (born 29 July 1989) is an English professional footballer who plays as a forward for EFL Championship club Wrexham.
Rodriguez began his career with his hometown club Burnley, for whom he scored 41 goals in 128 appearances across all competitions from his debut in 2007. In 2012, he joined Southampton for around £7 million, where his form earned him his only England cap, but shortly thereafter he missed over a year with injury.
In 2017, Rodriguez joined West Bromwich Albion for a fee of £12 million. Two years later, he returned to Burnley, where he played four further Premier League seasons, and also won the Championship in 2022–23.",0,Jay Rodriguez,jay enrique rodriguez bear july english professional footballer play forward efl championship club wrexham rodriguez begin career hometown club burnley score goal appearance across competition debut join southampton around million form earn england cap shortly thereafter miss year injury rodriguez join west bromwich albion fee million two year later return burnley play four premier league season also championship
Langenbernsdorf is a village in the district of Zwickau in the  Free State of Saxony.,0,Langenbernsdorf,langenbernsdorf village district zwickau free state saxony
"The Royal, Celestial and Military Order of Our Lady of Mercy and the Redemption of the Captives (Latin: Ordo Beatae Mariae de Mercede Redemptionis Captivorum, abbreviated O. de M.), also known as the Mercedarians, is a Catholic mendicant order established in 1218 by Peter Nolasco in the city of Barcelona, at that time the capital of the Principality of Catalonia, part of the Crown of Aragon, for the redemption of Christian captives. Its members are most commonly known as Mercedarian friars or nuns. One of the distinguishing marks of the Order of the Blessed Virgin Mary of Mercy is that, since its foundation, its members are required to take a fourth vow: to die, if necessary, for another who is in danger of losing their faith. The Order exists today in 17 countries.",0,Order of the Blessed Virgin Mary of Mercy,royal celestial military order lady mercy redemption captive latin ordo beatae mariae de mercede redemptionis captivorum abbreviate de also know mercedarians catholic mendicant order establish peter nolasco city barcelona time capital principality catalonia part crown aragon redemption christian captives member commonly know mercedarian friar nuns one distinguish mark order bless virgin mary mercy since foundation member require take fourth vow die necessary another danger lose faith order exist today country
Sille Dam (Turkish: Sille Barajı) is a dam in Konya Province in Turkey.,0,Sille Dam,sille dam turkish sille barajı dam konya province turkey
Ryan McWilliams (born 24 November 1989) is a Scottish footballer who plays for Saltcoats Victoria as a goalkeeper.,0,Ryan McWilliams,ryan mcwilliams born november scottish footballer play saltcoats victoria goalkeeper
