text,label,topic
"Býkovice is a municipality and village in Blansko District in the South Moravian Region of the Czech Republic. It has about 300 inhabitants.
Býkovice lies approximately 11 kilometres (7 mi) north-west of Blansko, 27 km (17 mi) north of Brno, and 169 km (105 mi) south-east of Prague.",0,Býkovice
Willie Davies (23 August 1916 – 26 September 2002) was a Welsh international dual-code rugby fly half who played rugby union for Swansea and rugby league for Bradford Northern. He won six caps for the Wales rugby union team and nine caps for the Wales rugby league team. In 2003 he was inducted into the Welsh Sports Hall of Fame. He was the cousin of Wales international Haydn Tanner.,0,Willie Davies (rugby)
"Taste is a Macintosh word processor that combined a number of basic features from page layout software—just a ""taste"" of it—to build a unique solution to preparing documents. Taste was originally offered by DeltaPoint, the publishers of the famed MindWrite, but was eventually spun off to a third party before finally disappearing. Taste works with Mac OS 9, but not macOS, and has not been available for purchase for several years. In many ways Apple's recent Pages application shares the basic ""idea"" of Taste, combining word processing with page layout.
Originally expected to retail for $99 in the low-end of the word processing market, Taste included a graphical page layout with an integrated drawing package and an address book with the capability of mail-merging. The product was available in 1991 for $149 with a scope of features found in many typical word processing packages, such as spelling checking, graphs and contents page generation. Like a word processor, Taste allowed the user to simply start typing and continue doing so until they were finished. There was no need, as in a typical page layout program, to create a box to hold the text, or manually add pages or link columns as the document grew. Like a page layout program, Taste also allowed the user to add these boxes if needed, as well as adjust the distance between characters (kerning) or between lines in a paragraph. Fairly complex graphics can be created within this program.
Oddly Taste also lacks a number of features of MindWrite, although it appears to have been written by an entirely different programming team. For instance, Taste does not have a built-in outliner, the ""killer feature"" of MindWrite which made it a favorite for many years. Nor does Taste include features like sorting or list generation.",0,Taste (software)
"Nassarius pullus, common names : black nassa; olive dog whelk; ribbed dog whelk, is a species of sea snail, a marine gastropod mollusc in the family Nassariidae, the nassa mud snails or dog whelks.",0,Nassarius pullus
"Metro Pulse was a weekly newspaper in Knoxville, Tennessee. It was founded in 1991 by Ashley Capps, Rand Pearson, Ian Blackburn, and Margaret Weston, and was a member of the Association of Alternative Newsweeklies.
In 2007, Metro Pulse was sold to the media conglomerate E.W. Scripps Company, which also owns several other local media outlets, including Knoxville's daily newspaper, the Knoxville News Sentinel, and the Shopper News in Halls.
Scripps ceased publication of the newspaper on October 15, 2014. The News Sentinel, Knoxville's daily newspaper, also owned by Scripps, launched a free arts and entertainment supplement in its place. Employees were told not to talk to the media or they would not receive severance. In November 2014, a group of Knoxville journalists announced plans for Hard Knox Independent, a new alternative weekly to launch in January 2015 that aims to fill the niche formerly occupied by Metro Pulse. Meanwhile, the actual editors of Metro Pulse declined to sign their severance agreements, which included a non-compete clause with the News Sentinel. Instead, they announced plans to start their own weekly paper, the Knoxville Mercury, utilizing a Kickstarter campaign and donations collected by a non-profit, the Knoxville History Project, for start-up funding. The Knoxville Mercury was officially launched in March 2015.",0,Metro Pulse
"Jay Enrique Rodriguez (born 29 July 1989) is an English professional footballer who plays as a forward for EFL Championship club Wrexham.
Rodriguez began his career with his hometown club Burnley, for whom he scored 41 goals in 128 appearances across all competitions from his debut in 2007. In 2012, he joined Southampton for around £7 million, where his form earned him his only England cap, but shortly thereafter he missed over a year with injury.
In 2017, Rodriguez joined West Bromwich Albion for a fee of £12 million. Two years later, he returned to Burnley, where he played four further Premier League seasons, and also won the Championship in 2022–23.",0,Jay Rodriguez
Langenbernsdorf is a village in the district of Zwickau in the  Free State of Saxony.,0,Langenbernsdorf
"The Royal, Celestial and Military Order of Our Lady of Mercy and the Redemption of the Captives (Latin: Ordo Beatae Mariae de Mercede Redemptionis Captivorum, abbreviated O. de M.), also known as the Mercedarians, is a Catholic mendicant order established in 1218 by Peter Nolasco in the city of Barcelona, at that time the capital of the Principality of Catalonia, part of the Crown of Aragon, for the redemption of Christian captives. Its members are most commonly known as Mercedarian friars or nuns. One of the distinguishing marks of the Order of the Blessed Virgin Mary of Mercy is that, since its foundation, its members are required to take a fourth vow: to die, if necessary, for another who is in danger of losing their faith. The Order exists today in 17 countries.",0,Order of the Blessed Virgin Mary of Mercy
Sille Dam (Turkish: Sille Barajı) is a dam in Konya Province in Turkey.,0,Sille Dam
Ryan McWilliams (born 24 November 1989) is a Scottish footballer who plays for Saltcoats Victoria as a goalkeeper.,0,Ryan McWilliams
"The Roscoe Conkling House is a historic house at 3 Rutger Park in Utica, New York, United States. A National Historic Landmark, it was the home of Roscoe Conkling (1829–1888), a powerful and controversial politician.",0,Roscoe Conkling House
"Euphrictus spinosus is a tarantula (family Theraphosidae), subfamily Selenogyrinae, first described by A.S. Hirst in 1908. It is only known from the male, and from the Dja River, Cameroon.",0,Euphrictus spinosus
"Phosphate-buffered saline (PBS) is a buffer solution (pH ~ 7.4) commonly used in biological research. It is a water-based salt solution containing disodium hydrogen phosphate, sodium chloride and, in some formulations, potassium chloride and potassium dihydrogen phosphate. The buffer helps to maintain a constant pH. The osmolarity and ion concentrations of the solutions are isotonic, meaning they match those of the human body.",0,Phosphate-buffered saline
"Antonio Andrónico Luksic Abaroa (5 November 1926 – 18 August 2005) was a Chilean businessman. He founded the Luksic Group, becoming the richest person in Chile, the fourth in Latin America, and the 132nd in the world, with a net worth in 2005 of US$4.2 billion according to Forbes magazine. The Luksic Group has interests in the mining, financial, industrial, and beverages sectors. Major holdings include, or have included, Banco de Chile, Compañía de las Cervecerías Unidas (CCU), and Antofagasta plc, a UK-listed copper mining company. In Croatia, he was involved in the tourist industry.
In September 2002, the Chilean newspaper El Mercurio published an interview with Andrónico Luksic titled ""Don Andrónico cuenta su historia"" (Don Andrónico shares his story), in which he explains how, after a life of hard work, he had decided to retire and ""dedicate himself to what he liked the most: his family, his beloved Croatia and social assistance"".",0,Andrónico Luksic Abaroa
"Gold Coast Airport (IATA: OOL, ICAO: YBCG) – formerly known as Coolangatta Airport – is an international airport located at the southern end of the Gold Coast. The entrance to the airport is situated in the suburb of Bilinga, located approximately 90 km (56 mi) south of Brisbane as part of the South East Queensland agglomeration. The main runway itself cuts through the Australian state borders of Queensland and New South Wales, though the airport operates on Queensland Time (year-round AEST / UTC+10).
The facility occupies 371 hectares (917 acres) of airport property.",0,Gold Coast Airport
"Van Buren Boddie (January 20, 1869 - May 11, 1928) was a Democratic Mississippi state legislator in the early 20th century.",0,Van Buren Boddie
"Centro Comercial Caminos del Inca, formerly known as Fashion Mall Caminos del Inca, is a shopping centre located between Caminos del Inca Avenue and Monterrey Street in Chacarilla del Estanque, Lima, Peru. Named after the adjacent avenue, it is the first such establishment of Santiago de Surco.",0,Caminos del Inca Shopping Centre
